id,city_id,address,
360,58,"Lutherville Timonium, MD 21093","(360,58,'Lutherville Timonium, MD 21093'),"
86,48,"Arlington Heights, IL 60004","(86,48,'Arlington Heights, IL 60004'),"
344,46,913 N. Indian Summer Avenue,"(344,46,'913 N. Indian Summer Avenue'),"
333,109,"Fernandina Beach, FL 32034","(333,109,'Fernandina Beach, FL 32034'),"
301,101,"Wappingers Falls, NY 12590","(301,101,'Wappingers Falls, NY 12590'),"
32,63,"Clinton Township, MI 48035","(32,63,'Clinton Township, MI 48035'),"
101,15,8974 East Arlington Street,"(101,15,'8974 East Arlington Street'),"
21,142,79 North Pumpkin Hill St.,"(21,142,'79 North Pumpkin Hill St.'),"
140,122,"New Port Richey, FL 34653","(140,122,'New Port Richey, FL 34653'),"
41,88,7314 S. Westminster Drive,"(41,88,'7314 S. Westminster Drive'),"
25,7,520 South Peninsula Drive,"(25,7,'520 South Peninsula Drive'),"
136,138,"Council Bluffs, IA 51501","(136,138,'Council Bluffs, IA 51501'),"
255,137,"Virginia Beach, VA 23451","(255,137,'Virginia Beach, VA 23451'),"
69,87,878 SE. Evergreen Street,"(69,87,'878 SE. Evergreen Street'),"
214,57,"Kings Mountain, NC 28086","(214,57,'Kings Mountain, NC 28086'),"
62,40,"West Hempstead, NY 11552","(62,40,'West Hempstead, NY 11552'),"
60,19,"Stone Mountain, GA 30083","(60,19,'Stone Mountain, GA 30083'),"
36,138,"Michigan City, IN 46360","(36,138,'Michigan City, IN 46360'),"
364,135,"Basking Ridge, NJ 07920","(364,135,'Basking Ridge, NJ 07920'),"
110,119,"Scotch Plains, NJ 07076","(110,119,'Scotch Plains, NJ 07076'),"
178,116,"Copperas Cove, TX 76522","(178,116,'Copperas Cove, TX 76522'),"
243,113,"Cottage Grove, MN 55016","(243,113,'Cottage Grove, MN 55016'),"
226,105,9328 South Columbia Dr.,"(226,105,'9328 South Columbia Dr.'),"
33,99,36 Ketch Harbour Street,"(33,99,'36 Ketch Harbour Street'),"
152,98,"Ocean Springs, MS 39564","(152,98,'Ocean Springs, MS 39564'),"
190,84,"Fuquay Varina, NC 27526","(190,84,'Fuquay Varina, NC 27526'),"
317,67,"Milledgeville, GA 31061","(317,67,'Milledgeville, GA 31061'),"
84,55,"South Windsor, CT 06074","(84,55,'South Windsor, CT 06074'),"
4,38,"Benton Harbor, MI 49022","(4,38,'Benton Harbor, MI 49022'),"
310,25,7431 S. Illinois Street,"(310,25,'7431 S. Illinois Street'),"
274,18,8204 Sleepy Hollow Ave.,"(274,18,'8204 Sleepy Hollow Ave.'),"
82,11,"West Deptford, NJ 08096","(82,11,'West Deptford, NJ 08096'),"
38,149,"The Villages, FL 32162","(38,149,'The Villages, FL 32162'),"
146,135,"Kernersville, NC 27284","(146,135,'Kernersville, NC 27284'),"
47,133,8704 West Glenlake St.,"(47,133,'8704 West Glenlake St.'),"
312,129,8932 N. Richardson Dr.,"(312,129,'8932 N. Richardson Dr.'),"
223,127,"Ormond Beach, FL 32174","(223,127,'Ormond Beach, FL 32174'),"
188,119,"Mount Juliet, TN 37122","(188,119,'Mount Juliet, TN 37122'),"
2,117,"Temple Hills, MD 20748","(2,117,'Temple Hills, MD 20748'),"
