city,capital,country,,,,,,,,
Kinshasa,true,"Congo, Democratic Republic of the","('Kinshasa',true,'Congo, Democratic Republic of the'),",,,,,,,"('Kinshasa',true,'Congo, Democratic Republic of the'),"
Kingstown,true,Saint Vincent and the Grenadines,"('Kingstown',true,'Saint Vincent and the Grenadines'),",,,,,,,"('Kingstown',true,'Saint Vincent and the Grenadines'),"
"Washington, D.C.",true,United States of America,"('Washington, D.C.',true,'United States of America'),",,,,,,,"('Washington, D.C.',true,'United States of America'),"
Bangui,true,Central African Republic,"('Bangui',true,'Central African Republic'),",,,,,,,"('Bangui',true,'Central African Republic'),"
Vatican City,true,Vatican City (Holy See),"('Vatican City',true,'Vatican City (Holy See)'),",,,,,,,"('Vatican City',true,'Vatican City (Holy See)'),"
Brazzaville,true,"Congo, Republic of the","('Brazzaville',true,'Congo, Republic of the'),",,,,,,,"('Brazzaville',true,'Congo, Republic of the'),"
Sarajevo,true,Bosnia and Herzegovina,"('Sarajevo',true,'Bosnia and Herzegovina'),",,,,,,,"('Sarajevo',true,'Bosnia and Herzegovina'),"
Basseterre,true,Saint Kitts and Nevis,"('Basseterre',true,'Saint Kitts and Nevis'),",,,,,,,"('Basseterre',true,'Saint Kitts and Nevis'),"
São Tomé,true,Sao Tome and Principe,"('São Tomé',true,'Sao Tome and Principe'),",,,,,,,"('São Tomé',true,'Sao Tome and Principe'),"
Abu Dhabi,true,United Arab Emirates,"('Abu Dhabi',true,'United Arab Emirates'),",,,,,,,"('Abu Dhabi',true,'United Arab Emirates'),"
Port of Spain,true,Trinidad and Tobago,"('Port of Spain',true,'Trinidad and Tobago'),",,,,,,,"('Port of Spain',true,'Trinidad and Tobago'),"
Saint John's,true,Antigua and Barbuda,"('Saint John's',true,'Antigua and Barbuda'),",,,,,,,"('Saint John's',true,'Antigua and Barbuda'),"
Santo Domingo,true,Dominican Republic,"('Santo Domingo',true,'Dominican Republic'),",,,,,,,"('Santo Domingo',true,'Dominican Republic'),"
Oyala (seat of government),true,Equatorial Guinea,"('Oyala (seat of government)',true,'Equatorial Guinea'),",,,,,,,"('Oyala (seat of government)',true,'Equatorial Guinea'),"
"Malabo (de jure),",true,Equatorial Guinea,"('Malabo (de jure),',true,'Equatorial Guinea'),",,,,,,,"('Malabo (de jure),',true,'Equatorial Guinea'),"
Port Moresby,true,Papua New Guinea,"('Port Moresby',true,'Papua New Guinea'),",,,,,,,"('Port Moresby',true,'Papua New Guinea'),"
Majuro,true,Marshall Islands,"('Majuro',true,'Marshall Islands'),",,,,,,,"('Majuro',true,'Marshall Islands'),"
Honiara,true,Solomon Islands,"('Honiara',true,'Solomon Islands'),",,,,,,,"('Honiara',true,'Solomon Islands'),"
Skopje,true,North Macedonia,"('Skopje',true,'North Macedonia'),",,,,,,,"('Skopje',true,'North Macedonia'),"
London,true,United Kingdom,"('London',true,'United Kingdom'),",,,,,,,"('London',true,'United Kingdom'),"
Yamoussoukro,true,Cote d'Ivoire,"('Yamoussoukro',true,'Cote d'Ivoire'),",,,,,,,"('Yamoussoukro',true,'Cote d'Ivoire'),"
Bissau,true,Guinea-Bissau,"('Bissau',true,'Guinea-Bissau'),",,,,,,,"('Bissau',true,'Guinea-Bissau'),"
Vaduz,true,Liechtenstein,"('Vaduz',true,'Liechtenstein'),",,,,,,,"('Vaduz',true,'Liechtenstein'),"
"Pretoria (administrative),",true,South Africa,"('Pretoria (administrative),',true,'South Africa'),",,,,,,,"('Pretoria (administrative),',true,'South Africa'),"
"Cape Town (legislative),",true,South Africa,"('Cape Town (legislative),',true,'South Africa'),",,,,,,,"('Cape Town (legislative),',true,'South Africa'),"
Bloemfontein (judicial),true,South Africa,"('Bloemfontein (judicial)',true,'South Africa'),",,,,,,,"('Bloemfontein (judicial)',true,'South Africa'),"
Ouagadougou,true,Burkina Faso,"('Ouagadougou',true,'Burkina Faso'),",,,,,,,"('Ouagadougou',true,'Burkina Faso'),"
Freetown,true,Sierra Leone,"('Freetown',true,'Sierra Leone'),",,,,,,,"('Freetown',true,'Sierra Leone'),"
Ashgabat,true,Turkmenistan,"('Ashgabat',true,'Turkmenistan'),",,,,,,,"('Ashgabat',true,'Turkmenistan'),"
Riyadh,true,Saudi Arabia,"('Riyadh',true,'Saudi Arabia'),",,,,,,,"('Riyadh',true,'Saudi Arabia'),"
San Salvador,true,El Salvador,"('San Salvador',true,'El Salvador'),",,,,,,,"('San Salvador',true,'El Salvador'),"
Wellington,true,New Zealand,"('Wellington',true,'New Zealand'),",,,,,,,"('Wellington',true,'New Zealand'),"
