id,address_id,customer,contact_name,notes,
127,129,"Grayson Sky Domes, Ltd.",Genevieve Christensen,"construction of protective habitat domes, owned by Honor Harrington, in several Honorverse novels by David Weber","(127,129,'Grayson Sky Domes, Ltd.','Genevieve Christensen','construction of protective habitat domes, owned by Honor Harrington, in several Honorverse novels by David Weber'),"
253,269,Sandpiper Air,Mitchell Blankenship,Pandoras Clock,"(253,269,'Sandpiper Air','Mitchell Blankenship','Pandoras Clock'),"
337,296,United Robotronics,Princess Christensen,"robotics, Isaac Asimov short stories such as those in I, Robot, title inspired name of U.S. Robotics real-world company.","(337,296,'United Robotronics','Princess Christensen','robotics, Isaac Asimov short stories such as those in I, Robot, title inspired name of U.S. Robotics real-world company.'),"
281,157,Sudden Pacific Railroad,Jamarcus Williamson,"Oh, Mr. Porter!","(281,157,'Sudden Pacific Railroad','Jamarcus Williamson','Oh, Mr. Porter!'),"
183,63,Mohican Airways,Carson Blankenship,"Planes, Trains and Automobiles","(183,63,'Mohican Airways','Carson Blankenship','Planes, Trains and Automobiles'),"
124,111,Good Burger,Emiliano Patterson,fast food restaurant,"(124,111,'Good Burger','Emiliano Patterson','fast food restaurant'),"
96,240,Edgars Industries,Madeline Stevenson,Bioweapon/Biopharmacutical Congolmerate from the Babylon 5 series,"(96,240,'Edgars Industries','Madeline Stevenson','Bioweapon/Biopharmacutical Congolmerate from the Babylon 5 series'),"
247,332,Rodbells Luncheonette,Savannah Schneider,"A coffeehouse on Beverly Hills, 90210.","(247,332,'Rodbells Luncheonette','Savannah Schneider','A coffeehouse on Beverly Hills, 90210.'),"
33,354,Big Belly Burger,Travis Christensen,Italian restaurant owned and operated by Rocky Balboa,"(33,354,'Big Belly Burger','Travis Christensen','Italian restaurant owned and operated by Rocky Balboa'),"
188,30,Moobys,Annabelle Farrell,The Restaurant at the End of the Universe,"(188,30,'Moobys','Annabelle Farrell','The Restaurant at the End of the Universe'),"
107,68,Four Aces Construction,Charlize Oconnell,Roseanne,"(107,68,'Four Aces Construction','Charlize Oconnell','Roseanne'),"
353,69,"WarioWare, Inc.",Charlotte Randall,Employs and supports computer hackers,"(353,69,'WarioWare, Inc.','Charlotte Randall','Employs and supports computer hackers'),"
321,70,Try-N-Save,Christina Rowland,Buffy the Vampire Slayer,"(321,70,'Try-N-Save','Christina Rowland','Buffy the Vampire Slayer'),"
199,121,North Central Positronics,Gabriella Beltran,The Dark Tower books,"(199,121,'North Central Positronics','Gabriella Beltran','The Dark Tower books'),"
212,122,Omni Consumer Products,Gabrielle Harrell,The Dark Tower books,"(212,122,'Omni Consumer Products','Gabrielle Harrell','The Dark Tower books'),"
200,130,North Central Positronics,Geovanni Bradshaw,The Dark Tower books,"(200,130,'North Central Positronics','Geovanni Bradshaw','The Dark Tower books'),"
358,133,Wesayso Corporation,Gracelyn Odonnell,Dinosaurs,"(358,133,'Wesayso Corporation','Gracelyn Odonnell','Dinosaurs'),"
317,163,Trans United Airways,Janiyah Hendricks,Free Fall,"(317,163,'Trans United Airways','Janiyah Hendricks','Free Fall'),"
349,207,W.C. Boggs & Co.,Kingston Gonzales,"Aircraft manufacturer, Those Magnificent Men in Their Flying Machines.","(349,207,'W.C. Boggs & Co.','Kingston Gonzales','Aircraft manufacturer, Those Magnificent Men in Their Flying Machines.'),"
296,209,The Lanford Lunch Box,Kolten Fitzgerald,fast food restaurant,"(296,209,'The Lanford Lunch Box','Kolten Fitzgerald','fast food restaurant'),"
359,293,Weyland-Yutani,Philip Pennington,"Specializes in space colonization and research, Alien movies","(359,293,'Weyland-Yutani','Philip Pennington','Specializes in space colonization and research, Alien movies'),"
318,372,Treadstone,Zechariah Russell,private investigators who claim to reveal facts through psychic visions,"(318,372,'Treadstone','Zechariah Russell','private investigators who claim to reveal facts through psychic visions'),"
326,5,Ultor Corporation,Aidan Harrington,The Flintstones,"(326,5,'Ultor Corporation','Aidan Harrington','The Flintstones'),"
